,ID_token,eye_shape_value,fur_value,accent_colour_value,cooldown_timer_value,base_colour_value,eye_colour_value,virginity_value,pattern_value,mouth_value,colorprimary_value,coloreyes_value,PU_rarity,secret_rarity,mouth_rarity,accent_colour_rarity,highlight_colour_rarity,base_colour_rarity,eye_shape_rarity,eye_colour_rarity,pattern_rarity,fur_rarity,image_url_png,total_price,pred_price,price_diff
0,1002073,slyboots,selkirk,cashewmilk,Plodding (8 hr),brownies,sapphire,non-virgin,rascal,happygokitty,0,0,0.0,0.0,0.1881362620018414,0.1132973826121268,0.19113507825858214,0.115059844798106,0.1494410101275812,0.11792713402604235,0.16843351308693938,0.16454031303432856,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002073.png,6.271675958052997,6.735660341032628,0.46398438297963107
1,1002080,asif,selkirk,kalahari,Catatonic (1 week),brownies,thundergrey,non-virgin,amur,impish,0,0,0.19460739181901882,0.1186636853873471,0.049375246613179005,0.08938576877548336,0.19113507825858214,0.115059844798106,0.07233986584243061,0.12792318821517823,0.15820071024595556,0.16454031303432856,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002080.png,6.237619145847649,6.73130252905079,0.4936833832031411
2,1002242,thicccbrowz,chantilly,frosting,Sluggish (2 days),cinderella,olive,non-virgin,rascal,fangtastic,0,0,0.0,0.0,0.0531369196369854,0.16572405629356832,0.19292384585032224,0.15162435880573458,0.21381033802446403,0.09285808233592004,0.16843351308693938,0.046534262791003554,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002242.png,6.687779574251536,6.73238697849046,0.044607404238924175
3,1002355,wiley,selkirk,purplehaze,Catatonic (1 week),greymatter,olive,non-virgin,amur,confuzzled,0,0,0.0,0.0,0.08854399579113507,0.13881362620018414,0.2014467973168486,0.15951598053399973,0.1843482835722741,0.09285808233592004,0.15820071024595556,0.16454031303432856,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002355.png,7.063498455883388,6.734379161557858,-0.32911929432552967
4,1002498,thicccbrowz,chantilly,icy,Catatonic (1 week),brownies,sapphire,non-virgin,tiger,pouty,0,0,0.0,0.0,0.18576877548336182,0.1387084045771406,0.19113507825858214,0.115059844798106,0.21381033802446403,0.11792713402604235,0.15144022096540838,0.046534262791003554,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002498.png,6.413649418542995,6.73130252905079,0.3176531105077949
5,1002614,asif,chantilly,icy,Catatonic (1 week),cinderella,dahlia,non-virgin,totesbasic,confuzzled,0,0,0.0,0.0,0.08854399579113507,0.1387084045771406,0.19113507825858214,0.15162435880573458,0.07233986584243061,0.12808102064974353,0.15417598316454031,0.046534262791003554,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002614.png,7.075599628227054,6.73820136850892,-0.33739825971813353
6,1002783,wiley,chantilly,icy,Slow (24 hr),cottoncandy,olive,non-virgin,tiger,confuzzled,0,0,0.0,0.0,0.08854399579113507,0.1387084045771406,0.2014467973168486,0.1548599237143233,0.1843482835722741,0.09285808233592004,0.15144022096540838,0.046534262791003554,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002783.png,6.059240775115386,6.73238697849046,0.6731462033750741
7,1002797,wiley,selkirk,kalahari,Brisk (1 hr),bananacream,sapphire,non-virgin,rascal,pouty,0,0,0.0,0.0,0.18576877548336182,0.08938576877548336,0.19113507825858214,0.15051953176377747,0.1843482835722741,0.11792713402604235,0.16843351308693938,0.16454031303432856,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002797.png,6.71564902255089,6.735317460326194,0.01966843777530425
8,1002856,wiley,chantilly,kalahari,Swift (5 min),brownies,olive,non-virgin,rascal,impish,0,0,0.0,0.0,0.049375246613179005,0.08938576877548336,0.19292384585032224,0.115059844798106,0.1843482835722741,0.09285808233592004,0.16843351308693938,0.046534262791003554,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002856.png,6.707065238218359,6.73238697849046,0.025321740272101323
9,1002987,chronic,koladiviya,frosting,Brisk (1 hr),cinderella,dahlia,non-virgin,totesbasic,fangtastic,0,0,0.0,0.0,0.0531369196369854,0.16572405629356832,0.19158227015651716,0.15162435880573458,0.1467052479284493,0.12808102064974353,0.15417598316454031,0.17919242404314087,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002987.png,6.327331130218115,6.735317460326194,0.40798633010807883
10,1003019,thicccbrowz,selkirk,icy,Snappy (30 min),greymatter,olive,non-virgin,rascal,confuzzled,0,0,0.0,0.1186636853873471,0.08854399579113507,0.1387084045771406,0.19158227015651716,0.15951598053399973,0.21381033802446403,0.09285808233592004,0.16843351308693938,0.16454031303432856,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003019.png,7.226844027845203,6.73238697849046,-0.4944570493547431
11,1003560,asif,koladiviya,kalahari,Plodding (4 hr),cottoncandy,dahlia,non-virgin,totesbasic,confuzzled,0,0,0.0,0.0,0.08854399579113507,0.08938576877548336,0.19158227015651716,0.1548599237143233,0.07233986584243061,0.12808102064974353,0.15417598316454031,0.17919242404314087,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003560.png,6.708153006366052,6.73238697849046,0.024233972124408254
12,1003575,asif,koladiviya,cashewmilk,Plodding (4 hr),cinderella,dahlia,non-virgin,totesbasic,happygokitty,0,0,0.0,0.0,0.1881362620018414,0.1132973826121268,0.19158227015651716,0.15162435880573458,0.07233986584243061,0.12808102064974353,0.15417598316454031,0.17919242404314087,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003575.png,6.804185236541566,6.73238697849046,-0.07179825805110607
13,1003708,wiley,chantilly,cashewmilk,Catatonic (1 week),cinderella,olive,non-virgin,rorschach,fangtastic,0,0,0.0,0.0,0.0531369196369854,0.1132973826121268,0.19158227015651716,0.15162435880573458,0.1843482835722741,0.09285808233592004,0.13013284229909247,0.046534262791003554,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003708.png,7.0348128616456576,6.73130252905079,-0.30351033259486737
14,1003762,slyboots,koladiviya,kalahari,Catatonic (1 week),brownies,olive,non-virgin,amur,happygokitty,0,0,0.0,0.1186636853873471,0.1881362620018414,0.08938576877548336,0.19113507825858214,0.115059844798106,0.1494410101275812,0.09285808233592004,0.15820071024595556,0.17919242404314087,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003762.png,6.735180929976806,6.734575891592958,-0.0006050383838482887
15,1003895,slyboots,koladiviya,frosting,Swift (5 min),bananacream,olive,non-virgin,amur,impish,0,0,0.0,0.0,0.049375246613179005,0.16572405629356832,0.19292384585032224,0.15051953176377747,0.1494410101275812,0.09285808233592004,0.15820071024595556,0.17919242404314087,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003895.png,6.736480551269871,6.76422341103287,0.027742859762999394
16,1003932,wiley,selkirk,frosting,Catatonic (1 week),cinderella,thundergrey,non-virgin,rascal,fangtastic,0,0,0.0,0.0,0.0531369196369854,0.16572405629356832,0.1871103511771669,0.15162435880573458,0.1843482835722741,0.12792318821517823,0.16843351308693938,0.16454031303432856,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003932.png,6.740849392853879,6.73130252905079,-0.00954686380308889
17,1003959,thicccbrowz,ragdoll,kalahari,Swift (2 min),cinderella,dahlia,non-virgin,rascal,soserious,0,0,0.0,0.0,0.1696698671577009,0.08938576877548336,0.19113507825858214,0.15162435880573458,0.21381033802446403,0.12808102064974353,0.16843351308693938,0.16619755359726424,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003959.png,6.722920666942067,6.73238697849046,0.009466311548393058
18,1004060,wiley,ragdoll,kalahari,Snappy (30 min),greymatter,thundergrey,non-virgin,rascal,soserious,0,0,0.0,0.0,0.1696698671577009,0.08938576877548336,0.1871103511771669,0.15951598053399973,0.1843482835722741,0.12792318821517823,0.16843351308693938,0.16619755359726424,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1004060.png,6.791040460033794,6.735463610997528,-0.055576849036265585
19,1004094,asif,ragdoll,purplehaze,Brisk (1 hr),brownies,sapphire,non-virgin,totesbasic,happygokitty,0,0,0.0,0.0,0.1881362620018414,0.13881362620018414,0.19158227015651716,0.115059844798106,0.07233986584243061,0.11792713402604235,0.15417598316454031,0.16619755359726424,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1004094.png,6.742824264356659,6.735317460326194,-0.007506804030464664
20,1004227,asif,koladiviya,frosting,Catatonic (1 week),brownies,olive,non-virgin,rascal,happygokitty,0,0,0.19460739181901882,0.15722741023280284,0.1881362620018414,0.16572405629356832,0.1871103511771669,0.115059844798106,0.07233986584243061,0.09285808233592004,0.16843351308693938,0.17919242404314087,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1004227.png,6.801429742285698,6.73130252905079,-0.07012721323490823
