ID_token,price_diff,total_price,pred_price,fur_value,pattern_value,eye_shape_value,fur_value,accent_colour_value,base_colour_value,eye_colour_value,pattern_value,mouth_value,image_url_png,opensea
2675,1.3092645974242032,7.749529487416687,9.05879408484089,ragamuffin,totesbasic,crazy,ragamuffin,granitegrey,shadowgrey,strawberry,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/2675.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/2675
514004,1.307617242604155,7.075599628227054,8.383216870831209,bobtail,amur,chronic,bobtail,purplehaze,cottoncandy,coralsunrise,amur,wuvme,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/514004.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/514004
536942,1.2715725530204232,6.2403457273401735,7.511918280360597,selkirk,amur,thicccbrowz,selkirk,morningglory,bananacream,coralsunrise,amur,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/536942.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/536942
297821,1.2449614373258724,7.668972854029318,8.91393429135519,ragdoll,luckystripe,crazy,ragdoll,granitegrey,shadowgrey,mintgreen,luckystripe,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/297821.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/297821
25511,1.2281400410509509,7.116812486273174,8.344952527324125,cymric,totesbasic,thicccbrowz,cymric,kittencream,mauveover,strawberry,totesbasic,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/25511.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/25511
388961,1.220435209440864,6.629773549501827,7.850208758942691,ragdoll,luckystripe,thicccbrowz,ragdoll,sandalwood,aquamarine,mintgreen,luckystripe,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/388961.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/388961
854583,1.1848466274249194,5.90970083477721,7.094547462202129,koladiviya,rascal,slyboots,koladiviya,kalahari,brownies,cyan,rascal,impish,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/854583.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/854583
509,1.16007657280017,8.911820566970954,10.071897139771124,sphynx,totesbasic,crazy,sphynx,granitegrey,salmon,topaz,totesbasic,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/509.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/509
522695,1.1568862615078768,6.49644522239461,7.653331483902487,birman,spangled,slyboots,birman,icy,cottoncandy,mintgreen,spangled,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/522695.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/522695
496622,1.1428976380510312,5.853443751479644,6.996341389530675,birman,spangled,slyboots,birman,purplehaze,shadowgrey,coralsunrise,spangled,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/496622.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/496622
