,ID_token,eye_shape_value,fur_value,accent_colour_value,base_colour_value,eye_colour_value,virginity_value,pattern_value,mouth_value,PU_rarity,secret_rarity,mouth_rarity,accent_colour_rarity,highlight_colour_rarity,base_colour_rarity,eye_shape_rarity,eye_colour_rarity,pattern_rarity,fur_rarity,overall_rarity_sum,image_url_png,total_price,pred_price,price_diff
0,10,simple,ragamuffin,granitegrey,orangesoda,chestnut,virgin,jaguar,soserious,0.0,0.0,0.1696698671577009,0.07281336314612653,0.2014467973168486,0.022464816519794817,0.0008943837958700513,0.0005261081152176773,0.002630540576088386,0.02491121925555702,0.49535709588320403,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/10.png,12.356949088553074,12.976836742682051,0.6198876541289771
1,100,thicccbrowz,ragamuffin,granitegrey,orangesoda,topaz,virgin,jaguar,beard,0.0,0.0,0.0006576351440220965,0.07281336314612653,0.19113507825858214,0.022464816519794817,0.21381033802446403,0.04666578981980797,0.002630540576088386,0.02491121925555702,0.575088780744443,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/100.png,12.308255623815258,12.542653505020104,0.2343978812048455
2,1002079,asif,koladiviya,frosting,cottoncandy,sapphire,virgin,tiger,impish,0.0,0.0,0.049375246613179005,0.16572405629356832,0.2014467973168486,0.1548599237143233,0.07233986584243061,0.11792713402604235,0.15144022096540838,0.17919242404314087,1.0923056688149415,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002079.png,7.060021606974251,6.845549262850207,-0.2144723441240446
3,1002133,slyboots,koladiviya,icy,bananacream,dahlia,virgin,rascal,fangtastic,0.0,0.1333421018019203,0.0531369196369854,0.1387084045771406,0.2014467973168486,0.15051953176377747,0.1494410101275812,0.12808102064974353,0.16843351308693938,0.17919242404314087,1.3023017230040774,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002133.png,6.8621016177503185,6.875636905768797,0.013535288018478475
4,1002710,asif,chantilly,frosting,brownies,cyan,virgin,amur,confuzzled,0.0,0.0,0.08854399579113507,0.16572405629356832,0.19292384585032224,0.115059844798106,0.07233986584243061,0.14257529922399054,0.15820071024595556,0.046534262791003554,0.9819018808365118,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002710.png,7.257780260854183,6.759508318503718,-0.4982719423504651
5,1002913,thicccbrowz,koladiviya,cashewmilk,cinderella,sapphire,virgin,totesbasic,impish,0.0,0.1333421018019203,0.049375246613179005,0.1132973826121268,0.2014467973168486,0.15162435880573458,0.21381033802446403,0.11792713402604235,0.15417598316454031,0.17919242404314087,1.314191766407997,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1002913.png,6.786195033425863,6.754490155054845,-0.0317048783710181
6,1003040,slyboots,koladiviya,cashewmilk,brownies,thundergrey,virgin,totesbasic,confuzzled,0.0,0.0,0.08854399579113507,0.1132973826121268,0.19158227015651716,0.115059844798106,0.1494410101275812,0.12792318821517823,0.15417598316454031,0.17919242404314087,1.1192160989083257,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003040.png,6.736764530748542,6.809049394729461,0.0722848639809186
7,1003084,chronic,chantilly,cashewmilk,cinderella,thundergrey,virgin,amur,confuzzled,0.0,0.0,0.08854399579113507,0.1132973826121268,0.1871103511771669,0.15162435880573458,0.1467052479284493,0.12792318821517823,0.15820071024595556,0.046534262791003554,1.01993949756675,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003084.png,6.7741934262006875,6.80253697460284,0.028343548402152585
8,1003394,wiley,chantilly,frosting,cinderella,thundergrey,virgin,rascal,soserious,0.19460739181901882,0.1333421018019203,0.1696698671577009,0.16572405629356832,0.19113507825858214,0.15162435880573458,0.1843482835722741,0.12792318821517823,0.16843351308693938,0.046534262791003554,1.5333421018019204,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003394.png,6.690336260106123,6.818989005686092,0.12865274557996909
9,1003495,wiley,koladiviya,kalahari,cottoncandy,dahlia,virgin,rorschach,fangtastic,0.0,0.15722741023280284,0.0531369196369854,0.08938576877548336,0.19292384585032224,0.1548599237143233,0.1843482835722741,0.12808102064974353,0.13013284229909247,0.17919242404314087,1.269288438774168,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1003495.png,6.68909598297598,6.805244241629958,0.11614825865397815
